name,battery,camera,display,processor,memory,warranty,price,rating,reviews
"Redmi Note 7S (Ruby Red, 64 GB)",4000 mAh Battery,48MP + 5MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 660 AIE Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Splash Proof - Protected by P2i,11999,4.4,33528
"OPPO A3s (Red, 64 GB)",4230 mAh Battery,13MP + 2MP | 8MP Front Camera,15.75 cm (6.2 inch) HD+ Display,Qualcomm Snapdragon 450 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10599,4.3,1342
"Asus Zenfone 2 Laser ZE500KL (Black, 16 GB)",2070 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,Qualcomm Snapdragon 410 MSM8916 Processor,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5990,4.1,391
"Panasonic Eluga Arc 2 (Gold, 32 GB)",2450 mAh Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,1 Year Manufacturer Warranty,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,Null,6340,3.8,78
"Karbonn A52 plus (Black and Gold, 4 GB)",1300 mAh Li-Ion Battery,2MP Rear Camera,8.89 cm (3.5 inch) HVGA Display,MTK Processor,512 MB RAM | 4 GB ROM | Expandable Upto 32 GB,1 Year for Mobile & 6 Months for Accessories,3290,3.6,555
"Yu Yunique 2 Plus (Champagne, 16 GB)",2500 mAh Lithium Ion Battery,13MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,MediaTek MT6737 Quad Core 1.3 GHz Processor,3 GB RAM | 16 GB ROM | Expandable Upto 64 GB,Brand Warranty of 1 Year,6699,3.8,900
"Lava Z62 (Midnight Blue, 16 GB)",3380 mAh Battery,8MP Rear Camera | 5MP Front Camera,15.24 cm (6 inch) Display,MTK 6761 Processor,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5549,4.2,44
"Samsung Galaxy A20s (Blue, 64 GB)",4000 mAh Lithium Ion Battery,13MP + 8MP + 5MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Qualcomm SDM450-B01 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,14900,4.3,80
"Redmi 5A (Rose Gold, 16 GB)",3000 mAh Li-polymer Battery,13MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,Qualcomm Snapdragon 425 Processor,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5999,4.5,153238
"Realme 3 Pro (Lightning Purple, 128 GB)",4045 mAh Battery,16MP + 5MP | 25MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,VooC Flash Charge 3.0,16999,4.5,14473
"Samsung On5 Pro (Black, 16 GB)",2600 mAh Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) Display,1 year manufacturer warranty for device and 6 months for accessories,2 GB RAM | 16 GB ROM,Null,6990,4.2,26
"Micromax Bharat Go (Jet Black, 8 GB)",2000 mAh Li-ion Battery,5MP Rear Camera | 5MP Front Camera,11.43 cm (4.5 inch) Display,MT6737 Processor,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3666,3.9,17
"Moto X (2nd Generation) (Black Leather, 16 GB)",2300 mAh Li-Ion Battery,13MP Rear Camera | 2MP Front Camera,13.21 cm (5.2 inch) Full HD Display,Qualcomm Snapdragon 801 MSM8974-AC Processor,2 GB RAM | 16 GB ROM,1 Year Manufacturer Warranty,23999,4.2,1194
"Moto X (2nd Generation) (Black, 32 GB)",2300 mAh Li-Ion Battery,13MP Rear Camera | 2MP Front Camera,13.21 cm (5.2 inch) Full HD Display,Qualcomm Snapdragon 801 MSM8974-AC Processor,2 GB RAM | 32 GB ROM,1 Year Manufacturer Warranty,24999,4.2,1194
"Tecno Camon i4 (Champagne Gold, 32 GB)",3500 mAh Battery,13MP + 8MP | 16MP Front Camera,15.75 cm (6.2 inch) HD+ Display,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Null,7599,4.1,14
"OPPO R17 (Ambient Blue, 128 GB)",3500 mAh Battery,16MP Rear Camera,16.26 cm (6.4 inch) Display,1 year manufacturer warranty,8 GB RAM | 128 GB ROM,Null,22999,Null,Null
"Comio C1 Pro (Royal Black, 16 GB)",2500 mAh Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,"15 months manufacturer warranty, Additional 30 days replacement warranty by brand",1.5 GB RAM | 16 GB ROM | Expandable Upto 128 GB,Null,3964,3.9,51
"Micromax Vdeo 3 (Champagne, 8 GB)",2000 mAh Li-Ion Battery,5MP Rear Camera | 2MP Front Camera,12.7 cm (5 inch) HD Display,Snapdragon 210�Quad Core 1.1GHz Processor,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5749,4,283
"Realme 3 (Radiant Blue, 64 GB)",4230 mAh Battery,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Triple Slots (Dual SIM + Memory Card),10499,4.4,16477
